text_id,author_canonical_name,author_fre_name,author_eng_name,author_dates,author_period,author_ISNI,author_URI_Perseus_catalog,author_CTS_code,author_biography,work_canonical_title,work_orig_title,work_fre_title,work_eng_title,work_date,work_language,work_URI_data_bnf,work_URI_perseus_Catalog,work_URI_RSPA,work_reference_editions,work_available_editions,work_genre,work_description,text_old_Perseus_URI,,text_Perseus_or_First1KGreek_Github_URI,text_Perseus_edition,text_Perseus_main_structure,text_Perseus_secondary_structure,text_Perseus_milestone,text_Perseus_CTS _refdecl,text_Perseus_enrichment,text_other_source_URI,text_other_source_version,text_other_source_format,text_other_source_licence,text_commentary,relevant_passages_ref,relevant_passages_length,relevant_passages_commentary,zoom_step,zoom_ref_added_by,zoom_ref_confirmed_by,zoom_text_added_by,zoom_text_source,zoom_text_version,zoom_text_confirmed_by,zoom_commented_by,zoom_checked_by,zoom_update_date,zoom_file_work_path,zoom_file_name
text_id,Nom canonique,Nom français,Nom anglais,Dates,Période,ISNI,URI Catalogue Perseus (auteur),URI CTS,Biographie,Titre canonique,Titre original,Titre français,Titre anglais,Date (œuvre),Langue,URI Data.bnf,URI Catalogue Perseus (œuvre),URI RSPA,Editions de référence,Editions disponibles,Genre,Description,URI site Perseus,,URI Github Perseus ou F1KG,Edition Perseus,Structure principale Perseus,Structure secondaire Perseus,Milestones Perseus,Compatible CTS Perseus,Enrichissement Perseus,Autres sources (URI),Autres sources (editions),Autres sources (format),Autres sources (licence),Commentaires sur le texte,Références passages,Longueur passage,Commentaires sur les passages,zoom_step,zoom_ref_added_by,zoom_ref_confirmed_by,zoom_text_added_by,zoom_text_source,zoom_text_version,zoom_text_confirmed_by,zoom_commented_by,zoom_checked_by,zoom_update_date,zoom_file_work_path,zoom_file_name
tech,author,author,author,author,author,author,author,author,author,work,work,work,work,work,work,work,work,work,work,work,work,work,text,,text,text,text,text,text,text,text,text,text,text,text,text,passage,passage,passage,zoom,zoom,zoom,zoom,zoom,zoom,zoom,zoom,zoom,zoom,zoom,zoom
1,AELIANUS SOPHISTES,Elien,Aelian,c. 175 - c. 235 ,Antiquity (classical),http://www.isni.org/isni/000000007980209X,http://catalog.perseus.org/catalog/urn:cite:perseus:author.19,tlg0545,,Natura animalium,Περὶ ζῴων ἠδιότητος,De la nature des animaux,On the characteristics of Animals,,GR,http://data.bnf.fr/13543400/elien_le_sophiste_de_la_nature_des_animaux/,http://data.perseus.org/catalog/urn:cts:greekLit:tlg0545.tlg001,,,,natural history,,http://data.perseus.org/texts/urn:cts:greekLit:tlg0545.tlg001.perseus-grc1,https://github.com/PerseusDL/canonical-greekLit/blob/master/data/tlg0545/tlg001/tlg0545.tlg001.perseus-grc2.xml,https://github.com/PerseusDL/canonical-greekLit/tree/master/data/tlg0545/tlg001,"Claudii Aeliani de natura animalium libri xvii, varia historia, epistolae, fragmenta, Vol 1 / ed. Rudolf Hercher. Lipsiae : In Aedibus B.G. Teubneri, 1864",livre/ch,,pb (pagination moderne),non,,,,,,,complete,,,2 (text added),AZ,,MS,Perseus,"Claudii Aeliani de natura animalium libri xvii, varia historia, epistolae, fragmenta, Vol 1 / ed. Rudolf Hercher. Lipsiae : In Aedibus B.G. Teubneri, 1864",,,,,tlg0545/tlg001,tlg0545.tlg001.perseus-grc1.xml
2,ALBERTUS MAGNUS,Albert le grand,Albertus Magnus,1200 - 1280,Middle-Age,http://www.isni.org/isni/0000000004877740,,non,,De animalibus,De animalibus,De animalibus,De animalibus,c. 1270,LA,,,,,,religious,,non,,non,,,,,,,http://albertusmagnus.uwaterloo.ca/,"De animalibus, ed. H. Stadler (Münster, 1916-1920) : Libri I-XII and Libri XIII-XXVI : http://albertusmagnus.uwaterloo.ca/PDFs/De%20animalibus-Stadler-Libri%20I-XII.pdf ; http://albertusmagnus.uwaterloo.ca/PDFs/De%20animalibus-Stadler-Libri%20XIII-XXVI.pdf
",,,,,,,1 (reference added),AZ,,,,,,,,,,
3,AMBROSIUS,Ambroise,Ambrose,c. 340 - 397,"Antiquity (late, christian)",http://www.isni.org/isni/0000000121452186,http://catalog.perseus.org/catalog/urn:cite:perseus:author.1535,stoa0022,,Hexaemeron,Hexaemeron,Hexaméron,Hexaemeron,390,LA,http://data.bnf.fr/14464433/ambroise_hexameron/,http://data.perseus.org/catalog/urn:cts:latinLit:stoa0022.stoa054,,,,religious,"Commentaire, en 9 homélies réparties en 6 livres, sur les 6 jours de la création (Gen. I, 1-26), prononcé entre 386 et 390 durant une semaine sainte",non,,non,,,,,,,"http://www.monumenta.ch/latein/verzeichnis4.php?tabelle=Ambrosius&xy=Ambrosius,%20Hexaemeron&level=3&nummer=&apparat=&step=&domain=&lang=1&inframe=1&hide_apparatus=1 ",Migne 1845,,,,,,,1 (reference added),AZ,,,,,,,,,,
4,ANTIGONUS,Antigone de Caryste,Antigonus,fl. 240 BC,Antiquity,http://www.isni.org/isni/0000000000373721,http://catalog.perseus.org/catalog/urn:cite:perseus:author.109,tlg0568,,Mirabilia,Περὶ θαυμασίων ἀκουσμάτων ,Curiosités de la nature,On marvelous things heard,,GR,http://data.bnf.fr/13554162/antigone_de_caryste_curiosites_de_la_nature/,non,,,,,,non,,non,,,,,,,,,,,,—,,,1 (reference added),AZ,,,,,,,,,,
5,APOLLONIUS,Apollonios de Tralles,,c. 200 BC - 100 BC,Antiquity,,,non,,,,,,,GR,,,,,,,,œuvre a preciser,,,,,,,,,,,,,,,,,0 (to be precised),AZ,,,,,,,,,,
6,APSYRTOS,,,c. 300 - 400,Antiquity,,,non,,Hippiatrica,,,,,GR,,non,,,,technical,Dans le Corpus hippiatricorum graecorum,non,,non,,,,,,,,,,,,,,,1 (reference added),AZ,,,,,,,,,,
7,ARISTOTELES,Aristote,Aristotle,384 BC - 322 BC,Antiquity,http://www.isni.org/isni/0000000123748083,http://catalog.perseus.org/catalog/urn:cite:perseus:author.204,tlg0086,,De Generatione Animalium,Περὶ ζᾥων γενέσεως,De la génération des animaux,Generation of animals,ca 340 BC,GR,http://data.bnf.fr/12245286/aristote_de_la_generation_des_animaux/,http://data.perseus.org/catalog/urn:cts:greekLit:tlg0086.tlg012,http://rspa.vjf.cnrs.fr/01/texte-antique/par-id/bd0b31d7ee41616b70a0ea3c589fa35edb0ca88d,,A.L. Peck. Harvard. 1942,philosophy,"Fait partie des traités biologiques d’Aristote ; il reprend en cinq livres, pour les expliquer, les faits collectionnés dans Historia Animalium. Les éditeurs ne s'accordent pas pour déterminer si c'est une œuvre de la maturité ou de la vieillesse. Cf. A. L. Peck, Aristotle. Parts of animals […], référencé dans ce répertoire, p. 10-12.  [RSPA]",non,,non,,,,,,,,,,,,—,,,1 (reference added),AZ,,,,,,,,,,
8,ARISTOTELES,Aristote,Aristotle,384 BC - 322 BC,Antiquity,http://www.isni.org/isni/0000000123748085,http://catalog.perseus.org/catalog/urn:cite:perseus:author.204,tlg0086,,De Incessu Animalium,Περὶ πορείας ζῴων,Marche des animaux,On the progression of animals,ca 340 BC,GR,http://data.bnf.fr/12245289/aristote_marche_des_animaux/,,http://rspa.vjf.cnrs.fr/01/texte-antique/par-id/4b2f6d376d805183e9f9ef9f7eebba631df90f06,,,philosophy,"Fait partie du corpus biologique aristotélicien et utilise les observations faites dans Historia Animalium ; comme le De motu animalium, il traite les problèmes du mouvement des vivants. [RSPA]",non,,non,,,,,,,,,,,,—,,,1 (reference added),AZ,,,,,,,,,,
9,ARISTOTELES,Aristote,Aristotle,384 BC - 322 BC,Antiquity,http://www.isni.org/isni/0000000123748086,http://catalog.perseus.org/catalog/urn:cite:perseus:author.204,tlg0086,,De Motu Animalium,Περὶ ζῴων κινήσεως,Mouvement des animaux,On the movement of animals,ca 340 BC,GR,http://data.bnf.fr/12245287/aristote_mouvement_des_animaux/,http://data.perseus.org/catalog/urn:cts:greekLit:tlg0086.tlg021,http://rspa.vjf.cnrs.fr/01/texte-antique/par-id/4a7ee7a6f44396213f12d6e10f0a0ff3d00cc0ef,,,philosophy,"Fait partie du corpus biologique aristotélicien ; comme le De incessu animalium, il traite les problèmes du mouvement des vivants. Il est considéré par certains comme apocryphe. [RSPA]",non,,non,,,,,,,,,,,,—,,,1 (reference added),AZ,,,,,,,,,,
10,ARISTOTELES,Aristote,Aristotle,384 BC - 322 BC,Antiquity,http://www.isni.org/isni/0000000123748088,http://catalog.perseus.org/catalog/urn:cite:perseus:author.204,tlg0086,,De longitudine et brevitate vitae,Περὶ μακροβιότητος καὶ βραχυβιότητος,De la longévité et de la brièveté de la vie,On Length and Shortness of Life,ca 340 BC,GR,,,http://rspa.vjf.cnrs.fr/01/texte-antique/par-id/f91ce8e696390e09b4a535d1d54fc6d3e867326d,,,philosophy,"Fait partie des Parva Naturalia. Ce traité expose les causes de la longueur ou de la brièveté de la vie, chez les animaux mais aussi chez les plantes. La vieillesse serait une sorte de ""dessèchement"" (Cf. R. Mugnier, Aristote. Petits traités d’histoire naturelle […] référencé dans ce répertoire, p. 9). [RSPA]",non,,non,,,,,,,,,,,,—,,,1 (reference added),AZ,,,,,,,,,,
11,ARISTOTELES,Aristote,Aristotle,384 BC - 322 BC,Antiquity,http://www.isni.org/isni/0000000123748092,http://catalog.perseus.org/catalog/urn:cite:perseus:author.204,tlg0086,,Problemata,Προβλήματα ,Problèmes,Problems,ca 340 BC,GR,http://data.bnf.fr/12244114/aristote_problemes/,http://data.perseus.org/catalog/urn:cts:greekLit:tlg0086.tlg036,http://rspa.vjf.cnrs.fr/01/texte-antique/par-id/5a41954d44c661a29de71d643ced89e09ca483d7,,,philosophy,"Recueil de questions et réponses sur l'histoire naturelle, divisé en 38 sections [BNF] Selon W. H. Hett, Aristotle in twenty-three volumes. 15-16, Problems… (référencé dans ce répertoire), p. xi, cet ouvrage est le produit de l'école péripatéticienne. Il est issu de compilations effectuées à diverses périodes. [RSPA]",non,,non,,,,,,,,,,,,partie,,,1 (reference added),AZ,,,,,,,,,,
